Modality;ST;TT;Genre;Line;Span;Span_2;Whose_error;Severity;Category_main;Category_sub;Severity_2;Severity_match;Category_main_2;Category_main_match;Category_sub_2;Category_sub_match;Kudos;Cultural reference;Details;Understandable
HT;English;Dutch;Thriller;6;in de hakken;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;
HT;English;Dutch;Thriller;6;een muntje;;AE;Minor;Accuracy;Undertranslation;;;;;;;;;;
HT;English;Dutch;Thriller;7;saloondeurtjes;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;
HT;English;Dutch;Thriller;3;op pauze te gaan;;Human;Minor;Accuracy;Undertranslation;;;;;;;;;;
HT;English;Dutch;Thriller;4;wirwar;;Human;Minor;Accuracy;Mistranslation;;;;;;;;;;
HT;English;Dutch;Thriller;7;montagefoto;;Human;Minor;Accuracy;Mistranslation;;;;;;;;;;
HT;English;Dutch;Thriller;7;de garderobe voor de jassen;;Human;Minor;Accuracy;Overtranslation;;;;;;;;;;
HT;English;Dutch;Thriller;8;ongeveer vier meter en één centimeter;;Human;Minor;Accuracy;Overtranslation;;;;;;;;;;
PE;English;Dutch;Thriller;3;zich kon concentreren;zich kon concentreren;Match;Minor;Style;Awkward style;Minor;Yes;Accuracy;No;Mistranslation;;;;;
PE;English;Dutch;Thriller;7;keukenluiken;keukenluiken;Match;Minor;Style;Unidiomatic style;Minor;Yes;Accuracy;No;Mistranslation;;;;;
PE;English;Dutch;Thriller;8;de hoofdtrap;hoofdtrap;Match;Minor;Style;Unidiomatic style;Minor;Yes;Accuracy;No;Mistranslation;;;;;
PE;English;Dutch;Thriller;9;nakeek;nakeek;Match;Minor;Accuracy;;Minor;Yes;Accuracy;Yes;Undertranslation;;;;;
PE;English;Dutch;Thriller;6;aan die voeten;;AE;Minor;Accuracy;Undertranslation;;;;;;;;;;
PE;English;Dutch;Thriller;6;het ijzer in mijn bloed;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;
PE;English;Dutch;Thriller;7;groepsfoto's ;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
PE;English;Dutch;Thriller;8;;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
PE;English;Dutch;Thriller;9;vijf;;AE;Major;Accuracy;Mistranslation;;;;;;;;Yes;fifteen feet changed to metrical units;
PE;English;Dutch;Thriller;3;zodat de vrijgekomen energie zich kon concentreren in mijn trommelvliezen;;Human;Major;Style;Awkward style;;;;;;;;;;
PE;English;Dutch;Thriller;3;vrijgekomen;;Human;Minor;Style;Awkward style;;;;;;;;;;
PE;English;Dutch;Thriller;4;geroffel van voetstappen;;Human;Minor;Style;Awkward style;;;;;;;;;;
PE;English;Dutch;Thriller;6;vastzat, en;;Human;Minor;Style;Awkward style;;;;;;;;;;
PE;English;Dutch;Thriller;7;dus;;Human;Major;Accuracy;;;;;;;;;;;
PE;English;Dutch;Thriller;8;ongeveer;;Human;Minor;Accuracy;;;;;;;;;;;
PE;English;Dutch;Thriller;9;groot;;Human;Minor;Style;Unidiomatic style;;;;;;;;;;
MT;English;Dutch;Thriller;4;Niet zomaar voetstappen—een razende stroom.;Niet zomaar voetstappen—een razende stroom.;Match;Major;Accuracy;Overtranslation;Major;Yes;Accuracy;Yes;Overtranslation;No;;;;
MT;English;Dutch;Thriller;3;Alles viel stil;;AE;Minor;Accuracy;Mistranslation;;;;;;;Yes;;;
MT;English;Dutch;Thriller;3;met mijn trommelvliezen alleen;;AE;Minor;Style;Unidiomatic style;;;;;;;;;;
MT;English;Dutch;Thriller;3;;;AE;Major;Accuracy;Omission;;;;;;;;;;
MT;English;Dutch;Thriller;6;;;AE;Minor;Accuracy;Omission;;;;;;;;;;
MT;English;Dutch;Thriller;6;het ijzer in mijn bloed;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;
MT;English;Dutch;Thriller;7;kapstok;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;
MT;English;Dutch;Thriller;7;keukenluiken;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;
MT;English;Dutch;Thriller;9;vijf;;AE;Major;Accuracy;Mistranslation;;;;;;;;Yes;fifteen feet changed to metrical units;
MT;English;Dutch;Thriller;5;Iemand op de tweede verdieping;;Human;Minor;Accuracy;;;;;;;;;;;
MT;English;Dutch;Thriller;6;vastzat, en;;Human;Minor;Accuracy;;;;;;;;;;;
MT;English;Dutch;Thriller;7;onder de scheur in het plafond die slordig was dichtgeplamuurd;;Human;Minor;Style;Inconsistent style;;;;;;;;;;
MT;English;Dutch;Thriller;8;de hoofdtrap;;Human;Minor;Style;Unidiomatic style;;;;;;;;;;
MT;English;Dutch;Thriller;8;Ongebeer vier meter van me vandaan;;Human;Major;Linguistic Convention;Unintelligble;;;;;;;;;;
MT;English;Dutch;Thriller;8;vier meter;;Human;Major;Linguistic Convention;Unintelligble;;;;;;;;;;
MT;English;Dutch;Thriller;9;nakeek;;Human;Major;Accuracy;;;;;;;;;;;
MT;English;Dutch;Thriller;9;groot;;Human;Minor;Style;Unidiomatic style;;;;;;;;;;
HT;English;Dutch;Poem;1;Bad;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;No
HT;English;Dutch;Poem;2;licht;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;No?
HT;English;Dutch;Poem;3;;;AE;Minor;Accuracy;Omission;;;;;;;;;;
HT;English;Dutch;Poem;3;balken;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
HT;English;Dutch;Poem;4;facetten;;AE;Minor;Accuracy;Mistranslation;;;;;;;Yes;;;
HT;English;Dutch;Poem;5;,;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
HT;English;Dutch;Poem;6;ik;;AE;Minor;Linguistic Convention;Spelling;;;;;;;;;;Punctuation
HT;English;Dutch;Poem;8;door de zon gefacetteerde;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
HT;English;Dutch;Poem;3;van een groenachtig wit;;Human;Minor;Linguistic Convention;;;;;;;;;;;
HT;English;Dutch;Poem;7;verstoord;;Human;Minor;Accuracy;;;;;;;;;;;
HT;English;Dutch;Poem;9;bijna te helder om te verdragen;;Human;Minor;Style;Awkward style;;;;;;;;;;
PE;English;Dutch;Poem;4;breuken;breuken;Match;Minor;Accuracy;Mistranslation;Minor;Yes;Accuracy;Yes;Mistranslation;Yes;;;;
PE;English;Dutch;Poem;7;waterbassin;waterbassin;Match;Minor;Style;Register;Minor;Yes;Accuracy;No;Addition;;;;;
PE;English;Dutch;Poem;10;liggen spelen;liggen spelen;Match;Minor;Accuracy;Undertranslation;Minor;Yes;Linguistic Convention;No;Grammar;;;;;
PE;English;Dutch;Poem;3;klatert;;AE;Minor;Accuracy;Mistranslation;;;;;;;Yes;;;
PE;English;Dutch;Poem;3;lagen;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
PE;English;Dutch;Poem;5;;;AE;Minor;Accuracy;Omission;;;;;;;;;;
PE;English;Dutch;Poem;5;vlekjes zon;;AE;Minor;Style;Awkward style;;;;;;;;;;
PE;English;Dutch;Poem;5;:;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
PE;English;Dutch;Poem;6;rollen;;AE;Minor;Accuracy;Mistranslation;;;;;;;Yes;;;
PE;English;Dutch;Poem;8;;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
PE;English;Dutch;Poem;9;beschut;;AE;Minor;Accuracy;Mistranslation;;;;;;;Yes;;;
PE;English;Dutch;Poem;11;De lucht;;AE;Minor;Style;Inappropriate for context;;;;;;;;;;No?
PE;English;Dutch;Poem;3;van ;;Human;Minor;Linguistic Convention;Grammar;;;;;;;;;;
PE;English;Dutch;Poem;4;het water in breuken als een edelsteen en splijt het water tot stralend licht.;;Human;Minor;Style;Unidiomatic style;;;;;;;;;;
PE;English;Dutch;Poem;4;tot stralend licht;;Human;Minor;Linguistic Convention;Grammar;;;;;;;;;;
PE;English;Dutch;Poem;6;één beweging;;Human;Minor;Accuracy;Undertranslation;;;;;;;;;;
PE;English;Dutch;Poem;9;is bijna onverdragelijk stralend;;Human;Minor;Style;Unidiomatic style;;;;;;;;;;
MT;English;Dutch;Poem;2;tulpen en narcis;narcis;Match;Minor;Style;Awkward style;Minor;Yes;Accuracy;No;Mistranslation;;;;;
MT;English;Dutch;Poem;4;barsten;barsten;Match;Minor;Accuracy;Mistranslation;Minor;Yes;Accuracy;Yes;Mistranslation;Yes;;;;
MT;English;Dutch;Poem;5;zonnevlekken;zonnevlekken;Match;Major;Accuracy;Mistranslation;Minor;No;Accuracy;Yes;Mistranslation;Yes;;;;
MT;English;Dutch;Poem;6;tollen, tollen;tollen;Match;Minor;Accuracy;Undertranslation;Minor;Yes;Accuracy;Yes;Undertranslation;Yes;;;;
MT;English;Dutch;Poem;9;bedekt me tegen;bedekt me tegen;Match;Major;Style;Unidiomatic style;Minor;No;Style;Yes;Awkward style;No;;;;
MT;English;Dutch;Poem;12;En weer:;En weer:;Match;Major;Accuracy;Addition;Major;Yes;Accuracy;Yes;Addition;Yes;;;;
MT;English;Dutch;Poem;1;Een bad;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;No
MT;English;Dutch;Poem;5;.;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
MT;English;Dutch;Poem;7;;;AE;Minor;Accuracy;Omission;;;;;;;;;;
MT;English;Dutch;Poem;8;zongebroken;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
MT;English;Dutch;Poem;10;dansende;;AE;Minor;Accuracy;Addition;;;;;;;;;;
MT;English;Dutch;Poem;12;narcis;;AE;Minor;Accuracy;Undertranslation;;;;;;;;;;
MT;English;Dutch;Poem;2;en de lucht geurt naar tulpen en narcis;;Human;Major;Style;Inconsistent style;;;;;;;;;;
MT;English;Dutch;Poem;2;fris, en de lucht geurt naar tulpen en narcis;;Human;Major;Accuracy;Mistranslation;;;;;;;;;;
MT;English;Dutch;Poem;3;—;;Human;Minor;Style;Awkward style;;;;;;;;;;
MT;English;Dutch;Poem;4;snijdt;;Human;Minor;Accuracy;Undertranslation;;;;;;;;;;
MT;English;Dutch;Poem;4;oplichten in flarden licht;;Human;Minor;Style;Register;;;;;;;;;;
MT;English;Dutch;Poem;5;Zalig;;Human;Minor;Style;Register;;;;;;;;;;
MT;English;Dutch;Poem;8;groen-witte;;Human;Major;Linguistic Convention;Spelling;;;;;;;;;;
MT;English;Dutch;Poem;8;berylgroen;;Human;Minor;Linguistic Convention;Grammar;;;;;;;;;;
MT;English;Dutch;Poem;10;zonnevlekken;;Human;Major;Accuracy;Mistranslation;;;;;;;;;;
MT;English;Dutch;Poem;12;flapt;;Human;Major;Style;Register;;;;;;;;;;
HT;Russian;Dutch;ShortStory;1;afliep;;AE;Minor;Linguistic Convention;Unidiomatic style;;;;;;;;;;
HT;Russian;Dutch;ShortStory;2;overviel hem een vreselijke zwakte;;Human;Minor;Style;Unidiomatic style;;;;;;;;;;
HT;Russian;Dutch;ShortStory;3;was nog erger;;Human;Minor;Accuracy;Omission;;;;;;;;;;
HT;Russian;Dutch;ShortStory;4;paracetemol;;AE;Major;Accuracy;Mistranslation;;;;;;;;Yes;Paracetemol is standard Dutch pain relief;
HT;Russian;Dutch;ShortStory;4;druppels in zijn neus gedaan;druppels in zijn neus gedaan;Match;Minor;Style;Awkward style;Minor;Yes;Accuracy;No;Undertranslation;;;;;
HT;Russian;Dutch;ShortStory;4;verkouden;;AE;Major;Accuracy;Mistranslation;;;;;;;;;More generalised (runny nose --> a cold);Yes but weird
HT;Russian;Dutch;ShortStory;4;jodium op zijn borst en rug te smeren;smeren;Match;Minor;Accuracy;Undertranslation;Minor;Yes;Accuracy;Yes;Mistranslation;No;;;;
HT;Russian;Dutch;ShortStory;6;zijn;;AE;Minor;Accuracy;Addition;;;;;;;;;;
HT;Russian;Dutch;ShortStory;9;het ergste;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;
HT;Russian;Dutch;ShortStory;9;was ;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;Russian can do without verb, but necessarily added in Dutch;
HT;Russian;Dutch;ShortStory;10;Die;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
HT;Russian;Dutch;ShortStory;12;zijn;;AE;Minor;Accuracy;Undertranslation;;;;;;;;;;
PE;Russian;Dutch;ShortStory;1;;;AE;Minor;Accuracy;Undertranslation;;;;;;;;;;
PE;Russian;Dutch;ShortStory;2;Hij werd geplaagd;;Human;Minor;Style;Unidiomatic style;;;;;;;;;;
PE;Russian;Dutch;ShortStory;2;slapte;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
PE;Russian;Dutch;ShortStory;3;subfebriel;;Human;Minor;Style;Register;;;;;;;;;;
PE;Russian;Dutch;ShortStory;3; –subfebriel; –subfebriel;Match;Minor;Linguistic Convention;Punctuation;Minor;Yes;Linguistic Convention;Yes;Punctuation;Yes;;;;
PE;Russian;Dutch;ShortStory;4;Voor het naar bed gaan;;AE;Minor;Style;Awkward style;;;;;;;;;;
PE;Russian;Dutch;ShortStory;4;;;AE;Minor;Accuracy;Omission;;;;;;;;;;
PE;Russian;Dutch;ShortStory;4;niet ;hoewel hij niet verkouden was;Match;Minor;Accuracy;Omission;Minor;Yes;Accuracy;Yes;Omission;No;;;;
PE;Russian;Dutch;ShortStory;4;Naftizine;;Human;Minor;Style;Audience appropriateness;;;;;;;;;;
PE;Russian;Dutch;ShortStory;4;zijn gedruppeld;;Human;Minor;Style;Unidiomatic style;;;;;;;;;;
PE;Russian;Dutch;ShortStory;6;buitengewoon;;AE;Minor;Accuracy;Overtranslation;;;;;;;;;;
PE;Russian;Dutch;ShortStory;7;of;;AE;Minor;Linguistic Convention;Grammar;;;;;;;;;;
PE;Russian;Dutch;ShortStory;7;;;Match;Minor;Accuracy;Omission;Minor;Yes;Accuracy;Yes;Omission;Yes;;;;
PE;Russian;Dutch;ShortStory;7;oké ;oké;Match;Minor;Style;;Minor;Yes;Accuracy;No;Mistranslation;;;;;
PE;Russian;Dutch;ShortStory;7;zat;zat;Match;Major;Linguistic Convention;Grammar;Minor;No;Linguistic Convention;Yes;Grammar;Yes;;;;
PE;Russian;Dutch;ShortStory;7;zoete;;Human;Minor;Accuracy;Overtranslation;;;;;;;;;;
PE;Russian;Dutch;ShortStory;9;het ergste;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;
PE;Russian;Dutch;ShortStory;11;van binnen;;Human;Minor;Linguistic Convention;Spelling;;;;;;;;;;
PE;Russian;Dutch;ShortStory;13;de verstoring;;Human;Minor;Accuracy;Undertranslation;;;;;;;;;;
PE;Russian;Dutch;ShortStory;13;het;;Human;Minor;Linguistic Convention;Grammar;;;;;;;;;;
PE;Russian;Dutch;ShortStory;13;medicamentaire;medicamentaire;Match;Minor;Style;Unidiomatic style;Minor;Yes;Terminology;No;Inappropriate for context;No;;;;
MT;Russian;Dutch;ShortStory;1;Yasha;;Human;Minor;Linguistic Convention;Spelling;;;;;;;;;;
MT;Russian;Dutch;ShortStory;1;—...—;;Human;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;1;van binnen;van binnen vulde;Match;Minor;Accuracy;Mistranslation;Minor;Yes;Style;No;Unidiomatic;;;;;
MT;Russian;Dutch;ShortStory;3;—...—;;Human;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;4;De avond ervoor;De avond ervoor;Match;Minor;Accuracy;Undertranslation;Major;No;Accuracy;Yes;Mistranslation;No;;;;
MT;Russian;Dutch;ShortStory;4;;;AE;Minor;Accuracy;Omission;;;;;;;;;;
MT;Russian;Dutch;ShortStory;4;met nafazoline;;Human;Minor;Accuracy;Overtranslation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;4;nafazoline;;Human;Minor;Style;Audience appropriateness;;;;;;;;;;
MT;Russian;Dutch;ShortStory;4;loopneus;;Human;Minor;Accuracy;Overtranslation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;6;—;;Human;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;7;zoete;;Human;Minor;Accuracy;Overtranslation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;8;koud;koud;Match;Major;Linguistic Convention;Grammar;Minor;No;Linguistic Convention;Yes;Grammar;Yes;;;;
MT;Russian;Dutch;ShortStory;9;het ergste;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;9;…;;Human;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;10;Die;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;12;over het algemeen goed functionerende;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;12;zijn;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
MT;Russian;Dutch;ShortStory;13;het vinden;het vinden;Match;Minor;Accuracy;Undertranslation;Minor;Yes;Linguistic Convention;No;Grammar;;;;;
MT;Russian;Dutch;ShortStory;13;;;AE;Major;Accuracy;Omission;;;;;;;;;;
MT;Russian;Dutch;ShortStory;13;medicijnen;;Human;Minor;Accuracy;Undertranslation;;;;;;;;;;
HT;Russian;Dutch;Thriller;1;steeds sneller en sneller;;Human;Minor;Style;Awkward style;;;;;;;;;;
HT;Russian;Dutch;Thriller;3;getokkel;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
HT;Russian;Dutch;Thriller;7;lonkte;;Human;Minor;Accuracy;;;;;;;;;;;
HT;Russian;Dutch;Thriller;9;in te verweven;;AE;Minor;Linguistic Convention;Grammar;;;;;;;;;;
HT;Russian;Dutch;Thriller;9;te zacht;;Human;Minor;Style;Awkward style;;;;;;;;;;
HT;Russian;Dutch;Thriller;10;gretig;;Human;Minor;Style;Awkward style;;;;;;;;;;
HT;Russian;Dutch;Thriller;14;;;AE;Minor;Accuracy;Omission;;;;;;;;;;
HT;Russian;Dutch;Thriller;14;de bus;;AE;Major;Style;;;;;;;;;Yes;bus is the more natural sounding Dutch version;
HT;Russian;Dutch;Thriller;15;bus;;AE;Minor;Style;Inconsistent style;;;;;;;;;;
HT;Russian;Dutch;Thriller;16;het voertuig;;Human;Minor;Style;Awkward style;;;;;;;;;;
HT;Russian;Dutch;Thriller;17;in de verte;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
HT;Russian;Dutch;Thriller;17;-;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
HT;Russian;Dutch;Thriller;17;flatgebouw;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
HT;Russian;Dutch;Thriller;17;torenhoge;;Human;Minor;Style;Awkward style;;;;;;;;;;
HT;Russian;Dutch;Thriller;19;felverlichte;;Human;Minor;Style;Awkward style;;;;;;;;;;
HT;Russian;Dutch;Thriller;20;lopen naar;;Human;Minor;Style;Awkward style;;;;;;;;;;
HT;Russian;Dutch;Thriller;20;ingang;;Human;Minor;Accuracy;;;;;;;;;;;
HT;Russian;Dutch;Thriller;22;naar de muziek;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;
PE;Russian;Dutch;Thriller;4;riep;;Human;Minor;Accuracy;Undertranslation;;;;;;;;;;
PE;Russian;Dutch;Thriller;4;riep. De;;Human;Minor;Style;Inconsistent style;;;;;;;;;;
PE;Russian;Dutch;Thriller;5;of;;AE;Minor;Linguistic Convention;Grammar;;;;;;;;;;
PE;Russian;Dutch;Thriller;5;,;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;
PE;Russian;Dutch;Thriller;7;riep;;Human;Minor;Accuracy;Undertranslation;;;;;;;;;;
PE;Russian;Dutch;Thriller;9;;;AE;Major;Accuracy;Omission;;;;;;;;;;
PE;Russian;Dutch;Thriller;9;onsamenhangend;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
PE;Russian;Dutch;Thriller;10;kwam de tunnel uit geschoten;kwam de tunnel uit geschoten;Match;Major;Style;Unidiomatic style;Minor;No;Linguistic Convention;No;Grammar;;;;;
PE;Russian;Dutch;Thriller;10;hapte;hapte;Match;Minor;Accuracy;Overtranslation;Minor;Yes;Accuracy;No;Mistranslation;;;;;
PE;Russian;Dutch;Thriller;10;hapte de koude lucht;;Human;Major;Linguistic Convention;Grammar;;;;;;;;;;
