English;Translation;UCP;Translation;Human annotation;Simplified;Automatic annotation;Simplified;Match_YN;Match;Match_diff_YN;Match_spec;ST;TT;Genre;Modality
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;passant de llarg la paret amb totes les nostres fotos, per sota l’esquerda mal enguixada del sostre i fins al punt entre l’armari dels abrics i les portes de llibret de la cuina on les passes finalment es van aturar, i jo també;the coat closet;l'armari dels abrics;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;passant de llarg la paret amb totes les nostres fotos, per sota l’esquerda mal enguixada del sostre i fins al punt entre l’armari dels abrics i les portes de llibret de la cuina on les passes finalment es van aturar, i jo també;the louvered kitchen doors;les portes de llibret de la cuina;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
I was standing in the shadow of the main stairwell, facing the double front doors approximately thirteen feet and two inches in front of me;Em vaig quedar a l’ombra de l’escala principal, de cara les portes dobles de l’entrada, que eren a uns quatre metres i deu centímetres de mi;the main stairwell;l'escala principal;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
I was standing in the shadow of the main stairwell, facing the double front doors approximately thirteen feet and two inches in front of me;Em vaig quedar a l’ombra de l’escala principal, de cara les portes dobles de l’entrada, que eren a uns quatre metres i deu centímetres de mi;the double front doors;portes dobles de l'entrada;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
I was standing in the shadow of the main stairwell, facing the double front doors approximately thirteen feet and two inches in front of me;Em vaig quedar a l’ombra de l’escala principal, de cara les portes dobles de l’entrada, que eren a uns quatre metres i deu centímetres de mi;thirteen feet and two inches;quatre metres i deu centímetres;CSM;CS;R;R;No;0;No;0;English;Catalan;Thriller ;PE
I guessed fifteen feet, but when the detective measured no more than an hour later, I found I’d ever so slightly overshot the distance between us.;Jo havia calculat quatre metres i mig però, quan el detectiu ho va mesurar al cap de no més d’una hora, vaig descobrir que havia sobreestimat lleugerament la distància que ens separava.;fifteen feet;quatre metres i mig;CSM;CS;R;R;No;0;No;0;English;Catalan;Thriller ;PE
I guessed fifteen feet, but when the detective measured no more than an hour later, I found I’d ever so slightly overshot the distance between us.;Jo havia calculat quatre metres i mig però, quan el detectiu ho va mesurar al cap de no més d’una hora, vaig descobrir que havia sobreestimat lleugerament la distància que ens separava.;ever so slightly;lleugerament;R;R;CSA;CS;No;0;No;0;English;Catalan;Thriller ;PE
I guessed fifteen feet, but when the detective measured no more than an hour later, I found I’d ever so slightly overshot the distance between us.;Jo havia calculat quatre metres i mig però, quan el detectiu ho va mesurar al cap de no més d’una hora, vaig descobrir que havia sobreestimat lleugerament la distància que ens separava.;overshot;sobreestimat;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
A thud. The thud.;Un cop. El cop.;A thud. The thud.;Un cop. El cop.;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
Stopped moving. Breathing. Thinking ;Vaig deixar de moure’m. De respirar. De pensar. ;moving. Breathing.thinking;de moure’m. De respirar. De pensar. ;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
All functions seem to shut down to divert resources to my eardrums;Totes les funcions semblaven apagar-se per destinar tots els recursos al meu timpà. ;shut down;apagar-se;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
All functions seem to shut down to divert resources to my eardrums;Totes les funcions semblaven apagar-se per destinar tots els recursos al meu timpà. ;divert resources;destinar tots els recursos;R;R;CS;CS;No;0;No;0;English;Catalan;Thriller ;MT
Overhead, there was a flurry of footsteps;A dalt, un enrenou de passes. ;a flurry of footsteps;enrenou de passes;R;R;CSM;CS;No;0;No;0;English;Catalan;Thriller ;MT
Someone on the second floor was running at a nauseating, inhuman speed.;Algú al segon pis corria amb una velocitat nauseabunda, inhumana.;second floor;segon pis;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si un imant estigués lligat a la sola d’aquells peus, i el níquel del meu cuir cabellut m’arrossegués amb ell —;attached;lligat;R;R;CSM;CS;No;0;No;0;English;Catalan;Thriller ;MT
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si un imant estigués lligat a la sola d’aquells peus, i el níquel del meu cuir cabellut m’arrossegués amb ell —;the soles of those feet;la sola d'aquells peus;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si un imant estigués lligat a la sola d’aquells peus, i el níquel del meu cuir cabellut m’arrossegués amb ell —;nickel in my scalp;el níquel del meu cuir cabellut;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si un imant estigués lligat a la sola d’aquells peus, i el níquel del meu cuir cabellut m’arrossegués amb ell —;dragged me along for the ride;m'arrossegués amb ell;R;R;CS;CS;No;0;No;0;English;Catalan;Thriller ;MT
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;més enllà de la paret amb les nostres fotografies de grup, sota l’esquerda mal enguixada del sostre, i finalment fins a l’espai entre l’armari dels abrics i les portes enreixades de la cuina, on les passes es van aturar, i jo amb elles.;our composites;fotografies de grup;R;R;CS;CS;No;0;No;0;English;Catalan;Thriller ;MT
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;més enllà de la paret amb les nostres fotografies de grup, sota l’esquerda mal enguixada del sostre, i finalment fins a l’espai entre l’armari dels abrics i les portes enreixades de la cuina, on les passes es van aturar, i jo amb elles.;poorly plasered crack;l'esquerda mal enguixada;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;més enllà de la paret amb les nostres fotografies de grup, sota l’esquerda mal enguixada del sostre, i finalment fins a l’espai entre l’armari dels abrics i les portes enreixades de la cuina, on les passes es van aturar, i jo amb elles.;the coat closet;l'armari dels abrics;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;més enllà de la paret amb les nostres fotografies de grup, sota l’esquerda mal enguixada del sostre, i finalment fins a l’espai entre l’armari dels abrics i les portes enreixades de la cuina, on les passes es van aturar, i jo amb elles.;the louvered kitchen doors;les portes enreixades de la cuina;R;R;CSM;CS;No;0;No;0;English;Catalan;Thriller ;MT
I was standing in the shadow of the main stairwell, facing the double front doors approximately thirteen feet and two inches in front of me;Jo era a l’ombra de l’escala principal, mirant de cara les portes dobles d’entrada, a tretze peus i dues polzades exactes davant meu. ;the main stairwell;l'escala principal;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
I was standing in the shadow of the main stairwell, facing the double front doors approximately thirteen feet and two inches in front of me;Jo era a l’ombra de l’escala principal, mirant de cara les portes dobles d’entrada, a tretze peus i dues polzades exactes davant meu. ;the double front doors;portes dobles d'entrada;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
I was standing in the shadow of the main stairwell, facing the double front doors approximately thirteen feet and two inches in front of me;Jo era a l’ombra de l’escala principal, mirant de cara les portes dobles d’entrada, a tretze peus i dues polzades exactes davant meu. ;thirteen feet and two inches;tretze peus i dues polzades;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
I guessed fifteen feet, but when the detective measured no more than an hour later, I found I’d ever so slightly overshot the distance between us.;Jo havia calculat quinze peus, però quan el detectiu ho va mesurar no més d’una hora després, vaig descobrir que havia excedit lleugerament la distància que ens separava.;fifteen feet;quinze peus;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
I guessed fifteen feet, but when the detective measured no more than an hour later, I found I’d ever so slightly overshot the distance between us.;Jo havia calculat quinze peus, però quan el detectiu ho va mesurar no més d’una hora després, vaig descobrir que havia excedit lleugerament la distància que ens separava.;ever so slightly;lleugerament;R;R;CS;CS;No;0;No;0;English;Catalan;Thriller ;MT
I guessed fifteen feet, but when the detective measured no more than an hour later, I found I’d ever so slightly overshot the distance between us.;Jo havia calculat quinze peus, però quan el detectiu ho va mesurar no més d’una hora després, vaig descobrir que havia excedit lleugerament la distància que ens separava.;overshot;excedit;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;MT
A thud. The thud.;Un trompada. La trompada.;A thud. The thud.;Un trompada. La trompada.;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
Stopped moving. Breathing. Thinking ;Vaig parar de moure’m. De respirar. De pensar. ;moving. Breathing.thinking;de moure’m. De respirar. De pensar;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
All functions seem to shut down to divert resources to my eardrums;Va ser com si totes les funcions quedessin interrompudes per desviar els recursos als meus timpans. ;shut down;quedessin interrompudes ;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
All functions seem to shut down to divert resources to my eardrums;Va ser com si totes les funcions quedessin interrompudes per desviar els recursos als meus timpans. ;divert resources;desviar els recursos;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
Overhead, there was a flurry of footsteps; A sobre meu, enrenou de passes;a flurry of footsteps;enrenou de passes;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
Someone on the second floor was running at a nauseating, inhuman speed.;Al segon pis, algú corria a una velocitat inhumana que et regirava l’estómac.;second floor;segon pis;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si les soles d’aquelles sabates duguessin un imant enganxat, i el níquel de la meva closca m’hi arrossegués al darrere;attached;enganxat;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si les soles d’aquelles sabates duguessin un imant enganxat, i el níquel de la meva closca m’hi arrossegués al darrere;the soles of those feet;les soles d’aquelles sabates ;R;R;CSM;CS;No;0;No;0;English;Catalan;Thriller ;HT
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si les soles d’aquelles sabates duguessin un imant enganxat, i el níquel de la meva closca m’hi arrossegués al darrere;nickel in my scalp;el níquel de la meva closca;R;R;CS;CS;No;0;No;0;English;Catalan;Thriller ;HT
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si les soles d’aquelles sabates duguessin un imant enganxat, i el níquel de la meva closca m’hi arrossegués al darrere;dragged me along for the ride;m’hi arrossegués al darrere;R;R;CSM;CS;No;0;No;0;English;Catalan;Thriller ;HT
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;passant per davant de la nostra paret de retrats, per sota de l’esquerda mal adobada del sostre i fins a l’espai entre l’armari dels abrics i les portes de llibret de la cuina, on les passes es van aturar i jo també. ;our composites;retrats;R;R;CSA;CS;No;0;No;0;English;Catalan;Thriller ;HT
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;passant per davant de la nostra paret de retrats, per sota de l’esquerda mal adobada del sostre i fins a l’espai entre l’armari dels abrics i les portes de llibret de la cuina, on les passes es van aturar i jo també. ;poorly plasered crack;l’esquerda mal adobada ;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;passant per davant de la nostra paret de retrats, per sota de l’esquerda mal adobada del sostre i fins a l’espai entre l’armari dels abrics i les portes de llibret de la cuina, on les passes es van aturar i jo també. ;the coat closet;l'armari dels abrics;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;passant per davant de la nostra paret de retrats, per sota de l’esquerda mal adobada del sostre i fins a l’espai entre l’armari dels abrics i les portes de llibret de la cuina, on les passes es van aturar i jo també. ;the louvered kitchen doors;les portes de llibret de la cuina;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
I was standing in the shadow of the main stairwell, facing the double front doors approximately thirteen feet and two inches in front of me;Era dreta a l’ombra de l’escala, de cara a la porta d’entrada de dues ventalles, que em quedava a aproximadament quatre metres i deu centímetres. ;the main stairwell;l'escala;R;R;CS;CS;No;0;No;0;English;Catalan;Thriller ;HT
I was standing in the shadow of the main stairwell, facing the double front doors approximately thirteen feet and two inches in front of me;Era dreta a l’ombra de l’escala, de cara a la porta d’entrada de dues ventalles, que em quedava a aproximadament quatre metres i deu centímetres. ;the double front doors;porta d'entrada de dues ventalles;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
I was standing in the shadow of the main stairwell, facing the double front doors approximately thirteen feet and two inches in front of me;Era dreta a l’ombra de l’escala, de cara a la porta d’entrada de dues ventalles, que em quedava a aproximadament quatre metres i deu centímetres. ;thirteen feet and two inches;quatre metres i deu centímetres;CSM;CS;R;R;No;0;No;0;English;Catalan;Thriller ;HT
I guessed fifteen feet, but when the detective measured no more than an hour later, I found I’d ever so slightly overshot the distance between us.;Jo hauria dit quatre metres i mig, però quan l’inspector va prendre mides tot just una hora després, va resultar que havia sobreestimat —res, una mica de no res— la distància que ens separava. ;fifteen feet;quatre metres i mig;CSM;CS;R;R;No;0;No;0;English;Catalan;Thriller ;HT
I guessed fifteen feet, but when the detective measured no more than an hour later, I found I’d ever so slightly overshot the distance between us.;Jo hauria dit quatre metres i mig, però quan l’inspector va prendre mides tot just una hora després, va resultar que havia sobreestimat —res, una mica de no res— la distància que ens separava. ;ever so slightly;res, una mica de no res;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;Thriller ;HT
I guessed fifteen feet, but when the detective measured no more than an hour later, I found I’d ever so slightly overshot the distance between us.;Jo hauria dit quatre metres i mig, però quan l’inspector va prendre mides tot just una hora després, va resultar que havia sobreestimat —res, una mica de no res— la distància que ens separava. ;overshot;sobreestimat;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;HT
He became aware that Sally had emerged from her book and was about to say something.;Es va adonar que la Sally havia emergit del llibre i estava a punt de dir alguna cosa.;had emerged;havia emergit ;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
“Murder is an occupational risk for prostitutes.” ;—L’assassinat és un risc laboral per a les prostitutes.;murder;L'assassinat;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
“Hmm,” said he, clinging to the thread of his calculations.  ;—Hmm —va fer ell, sense abandonar les seves càbales. ;clinging to the thread;sense abandonar les seves càbales;R;R;CS;CS;No;0;No;0;English;Catalan;ShortStory;PE
They grew so engrossing that when next she spoke it took him by surprise. ;El tenien tan absort que quan ella va tornar a parlar el va agafar desprevingut.;grew … engrossing;El tenien tan absort ;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
They grew so engrossing that when next she spoke it took him by surprise. ;El tenien tan absort que quan ella va tornar a parlar el va agafar desprevingut.;when next;quan ella va tornar a parlar ;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
They grew so engrossing that when next she spoke it took him by surprise. ;El tenien tan absort que quan ella va tornar a parlar el va agafar desprevingut.;took him by surprise;el va agafar desprevingut;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
“And for wives, too—though not so much.” ;—I per a les dones casades, també…, tot i que menys.;not so much;menys;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
Inwardly assenting, Willie asked, ;Donant l’observació per bona, en Willie va preguntar:;Inwardly assenting;Donant l’observació per bona;R;R;O;O;No;0;No;0;English;Catalan;ShortStory;PE
“What on earth are you reading now?” ;—Es pot saber què llegeixes, ara?;on earth;;O;O;R;R;No;0;No;0;English;Catalan;ShortStory;PE
I got it from the public library.”;L’he tret de la biblioteca.;got;L'he tret;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
I got it from the public library.”;L’he tret de la biblioteca.;public library;biblioteca;R;R;O;O;No;0;No;0;English;Catalan;ShortStory;PE
“Yes. In rather a stark way. ;—Sí. Té un plantejament força cru;rather;força;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
“Yes. In rather a stark way. ;—Sí. Té un plantejament força cru;stark;cru;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
“Sounds enthralling.”;—Sona apassionant.;enthralling;apassionant;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
Of course, that’s a good thing.”;És clar que això és bo.;Of course, that’s a good thing.” ;és clar que això és bo;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
He looked at Sally’s sleek flaxen hair, now bent over her book again.  ;En Willie mirà els cabells rossos i pulcrament pentinats de la Sally, que tornava a estar inclinada sobre el llibre. ;sleek flaxen hair;cabells rossos i pulcrament pentinats;CSC;CS;CS;CS;Yes;1;No;0;English;Catalan;ShortStory;PE
Though he was still young, still a student, he was a year older than she and found her artless sophistications touching.  ;Tot i que encara era un jove estudiant, era un any més gran que ella, i trobava commovedors els seus sofismes ingenus. ;her artless sophistications;els seus sofismes ingenus;CSC;CS;R;R;No;0;No;0;English;Catalan;ShortStory;PE
Though he was still young, still a student, he was a year older than she and found her artless sophistications touching.  ;Tot i que encara era un jove estudiant, era un any més gran que ella, i trobava commovedors els seus sofismes ingenus. ;touching;commovedors;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals que s’amagaven sota aquella caputxa de cabells sedosos fossin igual de polits, igual de pulcres i igual de nets que els cabells mateixos, repentinats com els d’una criatura.;that hood of silken hair;aquella caputxa de cabells sedosos;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals que s’amagaven sota aquella caputxa de cabells sedosos fossin igual de polits, igual de pulcres i igual de nets que els cabells mateixos, repentinats com els d’una criatura.;as… as … as;igual… igual… igual…;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals que s’amagaven sota aquella caputxa de cabells sedosos fossin igual de polits, igual de pulcres i igual de nets que els cabells mateixos, repentinats com els d’una criatura.;sleek;polits;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals que s’amagaven sota aquella caputxa de cabells sedosos fossin igual de polits, igual de pulcres i igual de nets que els cabells mateixos, repentinats com els d’una criatura.;smoothly disposed;pulcres;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;PE
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals que s’amagaven sota aquella caputxa de cabells sedosos fossin igual de polits, igual de pulcres i igual de nets que els cabells mateixos, repentinats com els d’una criatura.;childishly combed and cleaned;igual de nets que els cabells mateixos, repentinats com els d’una criatura;CSM;CS;CSC;CS;Yes;1;No;0;English;Catalan;ShortStory;PE
He became aware that Sally had emerged from her book and was about to say something.;Ell s’adonà que la Sally havia sortit del seu llibre i estava a punt de dir alguna cosa.;had emerged;havia sortit ;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
“Murder is an occupational risk for prostitutes.” ;—L’assassinat és un risc professional per a les prostitutes.;murder;L'assassinat;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
“Hmm,” said he, clinging to the thread of his calculations.  ;—Hmm —féu ell, aferrat encara al fil dels seus càlculs;clinging to the thread;aferrat encara al fil dels seus càlculs;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
They grew so engrossing that when next she spoke it took him by surprise. ;L’absorbien tant, que quan ella tornà a parlar el va sorprendre.;grew … engrossing;L’absorbien tant;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
They grew so engrossing that when next she spoke it took him by surprise. ;L’absorbien tant, que quan ella tornà a parlar el va sorprendre.;when next;quan ella tornà a parlar;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
They grew so engrossing that when next she spoke it took him by surprise. ;L’absorbien tant, que quan ella tornà a parlar el va sorprendre.;took him by surprise;el va sorprendre;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
“And for wives, too—though not so much.” ;—I per a les dones casades, també —tot i que menys.;not so much;menys;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
Inwardly assenting, Willie asked, ;Amb una aprovació muda, en Willie preguntà:;Inwardly assenting;Amb una aprovació muda;CSM;CS;R;R;No;0;No;0;English;Catalan;ShortStory;MT
“What on earth are you reading now?” ;—I ara què llegeixes?;on earth;;O;O;O;O;Yes;1;Yes;1;English;Catalan;ShortStory;MT
I got it from the public library.”;L’he tret de la biblioteca pública.;got;L'he tret;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
I got it from the public library.”;L’he tret de la biblioteca pública.;public library;biblioteca pública;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
“Yes. In rather a stark way. ;—Sí. D’una manera força nua. ;rather;força;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
“Yes. In rather a stark way. ;—Sí. D’una manera força nua. ;stark;nua;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
“Sounds enthralling.”;—Sona apassionant.;enthralling;apassionant;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
Of course, that’s a good thing.”;És clar que això és bo.;Of course, that’s a good thing.” ;és clar que això és bo;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
He looked at Sally’s sleek flaxen hair, now bent over her book again.  ;Ell mirà els cabells de lli lluents de la Sally, inclinats de nou damunt del llibre;sleek flaxen hair;els cabells de lli lluent de la Sally;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
Though he was still young, still a student, he was a year older than she and found her artless sophistications touching.  ;Encara era jove, encara estudiant, però un any més gran que ella, i trobava commovedores les seves sofisticacions ingènues. ;her artless sophistications;sofisticacions ingènues;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
Though he was still young, still a student, he was a year older than she and found her artless sophistications touching.  ;Encara era jove, encara estudiant, però un any més gran que ella, i trobava commovedores les seves sofisticacions ingènues. ;touching;commovedores;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals que s’amagaven sota aquella caputxa de seda fossin tan polits, tan ben ordenats, tan infantilment pentinats i nets.;that hood of silken hair;aquella caputxa de seda;R;R;O;CS;No;0;No;0;English;Catalan;ShortStory;MT
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals que s’amagaven sota aquella caputxa de seda fossin tan polits, tan ben ordenats, tan infantilment pentinats i nets.;as… as … as;tan… tan… tan…;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals que s’amagaven sota aquella caputxa de seda fossin tan polits, tan ben ordenats, tan infantilment pentinats i nets.;sleek;polits;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
